,treatment,trial,trialNum,m,se
0,standard.yoked,Pre,1,0.0,0.0
1,standard.yoked,T1,2,7.12,0.85
2,standard.yoked,T2,3,5.38,2.12
3,standard.yoked,T3,4,3.75,1.37
4,standard.yoked,Retest,5,3.88,1.2
5,standard.yoked,T4_C1,6,4.5,1.66
6,standard.yoked,T5_C2,7,3.75,1.33
7,standard.yoked,T6_C3,8,4.25,2.04
8,standard.yoked,Retention,9,0.0,0.0
9,standard.trained,Pre,1,0.0,0.0
10,standard.trained,T1,2,7.12,0.85
11,standard.trained,T2,3,5.38,2.12
12,standard.trained,T3,4,3.75,1.37
13,standard.trained,Retest,5,3.88,1.2
14,standard.trained,T4_C1,6,4.5,1.66
15,standard.trained,T5_C2,7,3.75,1.33
16,standard.trained,T6_C3,8,4.25,2.04
17,standard.trained,Retention,9,0.0,0.0
18,conflict.yoked,Pre,1,0.0,0.0
19,conflict.yoked,T1,2,9.67,2.03
20,conflict.yoked,T2,3,2.78,0.32
21,conflict.yoked,T3,4,2.89,1.53
22,conflict.yoked,Retest,5,2.22,0.74
23,conflict.yoked,T4_C1,6,20.78,2.91
24,conflict.yoked,T5_C2,7,6.33,2.76
25,conflict.yoked,T6_C3,8,5.89,2.39
26,conflict.yoked,Retention,9,0.0,0.0
27,conflict.trained,Pre,1,0.0,0.0
28,conflict.trained,T1,2,9.67,2.03
29,conflict.trained,T2,3,2.78,0.32
30,conflict.trained,T3,4,2.89,1.53
31,conflict.trained,Retest,5,2.22,0.74
32,conflict.trained,T4_C1,6,20.78,2.91
33,conflict.trained,T5_C2,7,6.33,2.76
34,conflict.trained,T6_C3,8,5.89,2.39
35,conflict.trained,Retention,9,0.0,0.0
