,trial,name,group1,group2,meandiff,p-adj,sig.
0,Pre-training,NumEntrances,conflict.trained,standard.trained,-0.54,0.9965,
1,Pre-training,NumEntrances,conflict.yoked,standard.yoked,-0.96,0.9814,
2,Pre-training,pTimeShockZone,conflict.trained,standard.trained,-0.01,0.8861,
3,Pre-training,pTimeShockZone,conflict.yoked,standard.yoked,-0.01,0.8587,
4,Pre-training,Time1stEntr,conflict.trained,standard.trained,-3.76,0.8042,
5,Pre-training,Time1stEntr,conflict.yoked,standard.yoked,1.52,0.9831,
6,Initial Training 1,NumEntrances,conflict.trained,standard.trained,-1.21,0.9209,
7,Initial Training 1,NumEntrances,conflict.yoked,standard.yoked,0.6,0.9892,
8,Initial Training 1,pTimeShockZone,conflict.trained,standard.trained,-0.01,0.9944,
9,Initial Training 1,pTimeShockZone,conflict.yoked,standard.yoked,-0.04,0.7595,
10,Initial Training 1,Time1stEntr,conflict.trained,standard.trained,-2.68,0.9702,
11,Initial Training 1,Time1stEntr,conflict.yoked,standard.yoked,6.69,0.6881,
12,Initial Training 2,NumEntrances,conflict.trained,standard.trained,2.69,0.6277,
13,Initial Training 2,NumEntrances,conflict.yoked,standard.yoked,1.82,0.8471,
14,Initial Training 2,pTimeShockZone,conflict.trained,standard.trained,0.01,0.9982,
15,Initial Training 2,pTimeShockZone,conflict.yoked,standard.yoked,-0.0,0.9999,
16,Initial Training 2,Time1stEntr,conflict.trained,standard.trained,42.47,0.8636,
17,Initial Training 2,Time1stEntr,conflict.yoked,standard.yoked,-0.24,1.0,
18,Initial Training 3,NumEntrances,conflict.trained,standard.trained,0.82,0.9821,
19,Initial Training 3,NumEntrances,conflict.yoked,standard.yoked,-1.17,0.9512,
20,Initial Training 3,pTimeShockZone,conflict.trained,standard.trained,0.0,1.0,
21,Initial Training 3,pTimeShockZone,conflict.yoked,standard.yoked,0.01,0.9937,
22,Initial Training 3,Time1stEntr,conflict.trained,standard.trained,-88.63,0.598,
23,Initial Training 3,Time1stEntr,conflict.yoked,standard.yoked,4.48,0.9999,
24,Retest,NumEntrances,conflict.trained,standard.trained,1.15,0.8996,
25,Retest,NumEntrances,conflict.yoked,standard.yoked,0.76,0.9675,
26,Retest,pTimeShockZone,conflict.trained,standard.trained,0.01,0.9889,
27,Retest,pTimeShockZone,conflict.yoked,standard.yoked,-0.01,0.9885,
28,Retest,Time1stEntr,conflict.trained,standard.trained,-88.11,0.6398,
29,Retest,Time1stEntr,conflict.yoked,standard.yoked,-18.53,0.9944,
30,Conflict Training 4,NumEntrances,conflict.trained,standard.trained,-14.19,0.0001,*
31,Conflict Training 4,NumEntrances,conflict.yoked,standard.yoked,0.11,1.0,
32,Conflict Training 4,pTimeShockZone,conflict.trained,standard.trained,-0.04,0.7439,
33,Conflict Training 4,pTimeShockZone,conflict.yoked,standard.yoked,0.1,0.0382,*
34,Conflict Training 4,Time1stEntr,conflict.trained,standard.trained,270.58,0.0001,*
35,Conflict Training 4,Time1stEntr,conflict.yoked,standard.yoked,21.75,0.9747,
36,Conflict Training 5,NumEntrances,conflict.trained,standard.trained,-2.6,0.749,
37,Conflict Training 5,NumEntrances,conflict.yoked,standard.yoked,-0.57,0.9962,
38,Conflict Training 5,pTimeShockZone,conflict.trained,standard.trained,-0.0,0.9998,
39,Conflict Training 5,pTimeShockZone,conflict.yoked,standard.yoked,0.06,0.1356,
40,Conflict Training 5,Time1stEntr,conflict.trained,standard.trained,44.43,0.9375,
41,Conflict Training 5,Time1stEntr,conflict.yoked,standard.yoked,8.26,0.9995,
42,Conflict Training 6,NumEntrances,conflict.trained,standard.trained,-1.64,0.9472,
43,Conflict Training 6,NumEntrances,conflict.yoked,standard.yoked,-1.68,0.9434,
44,Conflict Training 6,pTimeShockZone,conflict.trained,standard.trained,-0.0,1.0,
45,Conflict Training 6,pTimeShockZone,conflict.yoked,standard.yoked,0.01,0.9934,
46,Conflict Training 6,Time1stEntr,conflict.trained,standard.trained,63.29,0.8796,
47,Conflict Training 6,Time1stEntr,conflict.yoked,standard.yoked,-11.45,0.9991,
48,Retention,NumEntrances,conflict.trained,standard.trained,-2.19,0.7467,
49,Retention,NumEntrances,conflict.yoked,standard.yoked,3.0,0.5235,
50,Retention,pTimeShockZone,conflict.trained,standard.trained,-0.02,0.9043,
51,Retention,pTimeShockZone,conflict.yoked,standard.yoked,0.1,0.0085,*
52,Retention,Time1stEntr,conflict.trained,standard.trained,114.52,0.5921,
53,Retention,Time1stEntr,conflict.yoked,standard.yoked,-30.01,0.9872,
